SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
41998,1610612757,POR,Portland Trail Blazers,0049800050,1999-05-22,POR vs. UTA,W,236,97,28,66,0.424,6,15,0.4,35,50,0.7,13,28,41,21,10,1,11,25,10.0
41998,1610612754,IND,Indiana Pacers,0049800049,1999-05-21,IND @ PHI,W,236,97,38,76,0.5,8,24,0.333,13,19,0.684,12,35,47,26,9,5,20,24,11.0
41998,1610612755,PHI,Philadelphia 76ers,0049800049,1999-05-21,PHI vs. IND,L,236,86,33,88,0.375,3,15,0.2,17,28,0.607,19,23,42,19,14,2,11,20,-11.0
41998,1610612757,POR,Portland Trail Blazers,0049800048,1999-05-20,POR @ UTA,W,236,84,30,74,0.405,5,11,0.455,19,28,0.679,9,32,41,17,11,4,8,23,3.0
41998,1610612737,ATL,Atlanta Hawks,0049800047,1999-05-20,ATL vs. NYK,L,234,70,24,81,0.296,2,19,0.105,20,29,0.69,18,31,49,7,11,1,17,27,-7.0
41998,1610612762,UTA,Utah Jazz,0049800048,1999-05-20,UTA vs. POR,L,235,81,29,75,0.387,5,13,0.385,18,26,0.692,13,39,52,19,5,8,15,25,-3.0
41998,1610612752,NYK,New York Knicks,0049800047,1999-05-20,NYK @ ATL,W,235,77,26,67,0.388,3,10,0.3,22,31,0.71,11,35,46,11,9,2,18,24,7.0
41998,1610612747,LAL,Los Angeles Lakers,0049800046,1999-05-19,LAL @ SAS,L,235,76,29,69,0.42,3,14,0.214,15,26,0.577,9,29,38,11,6,5,18,24,-3.0
41998,1610612754,IND,Indiana Pacers,0049800045,1999-05-19,IND vs. PHI,W,236,85,32,81,0.395,6,21,0.286,15,24,0.625,20,29,49,26,5,5,12,22,3.0
41998,1610612759,SAS,San Antonio Spurs,0049800046,1999-05-19,SAS vs. LAL,W,236,79,30,69,0.435,2,8,0.25,17,18,0.944,7,31,38,22,8,2,17,27,3.0
41998,1610612755,PHI,Philadelphia 76ers,0049800045,1999-05-19,PHI @ IND,L,235,82,32,80,0.4,1,8,0.125,17,22,0.773,15,27,42,14,8,5,11,23,-3.0
41998,1610612737,ATL,Atlanta Hawks,0049800043,1999-05-18,ATL vs. NYK,L,236,92,27,74,0.365,9,22,0.409,29,37,0.784,9,23,32,13,9,4,9,22,-8.0
41998,1610612752,NYK,New York Knicks,0049800043,1999-05-18,NYK @ ATL,W,236,100,39,77,0.506,2,16,0.125,20,21,0.952,8,32,40,23,5,5,12,27,8.0
41998,1610612762,UTA,Utah Jazz,0049800044,1999-05-18,UTA vs. POR,W,234,93,30,66,0.455,3,11,0.273,30,42,0.714,10,33,43,22,6,3,13,23,10.0
41998,1610612757,POR,Portland Trail Blazers,0049800044,1999-05-18,POR @ UTA,L,235,83,33,75,0.44,2,11,0.182,15,25,0.6,11,25,36,15,10,4,11,30,-10.0
41998,1610612755,PHI,Philadelphia 76ers,0049800041,1999-05-17,PHI @ IND,L,234,90,37,79,0.468,1,9,0.111,15,23,0.652,15,25,40,17,7,3,12,29,-4.0
41998,1610612754,IND,Indiana Pacers,0049800041,1999-05-17,IND vs. PHI,W,235,94,32,72,0.444,4,12,0.333,26,32,0.813,11,27,38,14,5,5,12,26,4.0
41998,1610612759,SAS,San Antonio Spurs,0049800042,1999-05-17,SAS vs. LAL,W,236,87,31,74,0.419,3,7,0.429,22,34,0.647,12,32,44,18,6,9,14,21,6.0
41998,1610612747,LAL,Los Angeles Lakers,0049800042,1999-05-17,LAL @ SAS,L,235,81,30,79,0.38,2,9,0.222,19,26,0.731,14,26,40,13,10,3,10,25,-6.0
41998,1610612737,ATL,Atlanta Hawks,0049800035,1999-05-16,ATL vs. DET,W,237,87,31,65,0.477,4,12,0.333,21,29,0.724,11,31,42,18,6,2,13,15,12.0
41998,1610612762,UTA,Utah Jazz,0049800037,1999-05-16,UTA vs. SAC,W,258,99,33,84,0.393,2,6,0.333,31,34,0.912,17,29,46,24,11,0,18,30,7.0
41998,1610612765,DET,Detroit Pistons,0049800035,1999-05-16,DET @ ATL,L,232,75,31,73,0.425,3,10,0.3,10,13,0.769,8,18,26,22,10,3,10,27,-12.0
41998,1610612748,MIA,Miami Heat,0049800033,1999-05-16,MIA vs. NYK,L,233,77,25,63,0.397,5,18,0.278,22,31,0.71,10,27,37,16,5,5,13,19,-1.0
41998,1610612758,SAC,Sacramento Kings,0049800037,1999-05-16,SAC @ UTA,L,260,92,34,82,0.415,6,29,0.207,18,30,0.6,17,26,43,14,11,6,20,31,-7.0
41998,1610612752,NYK,New York Knicks,0049800033,1999-05-16,NYK @ MIA,W,235,78,32,74,0.432,2,10,0.2,12,16,0.75,13,25,38,12,9,2,9,23,1.0
41998,1610612759,SAS,San Antonio Spurs,0049800031,1999-05-15,SAS @ MIN,W,234,92,28,71,0.394,4,15,0.267,32,42,0.762,9,28,37,19,8,7,7,22,7.0
41998,1610612745,HOU,Houston Rockets,0049800032,1999-05-15,HOU vs. LAL,L,237,88,31,87,0.356,7,30,0.233,19,27,0.704,13,35,48,24,7,3,14,23,-10.0
41998,1610612750,MIN,Minnesota Timberwolves,0049800031,1999-05-15,MIN vs. SAS,L,235,85,33,85,0.388,3,13,0.231,16,20,0.8,16,34,50,19,4,6,12,35,-7.0
41998,1610612753,ORL,Orlando Magic,0049800030,1999-05-15,ORL @ PHI,L,235,91,28,76,0.368,10,26,0.385,25,35,0.714,18,21,39,21,9,2,12,21,-10.0
41998,1610612747,LAL,Los Angeles Lakers,0049800032,1999-05-15,LAL @ HOU,W,235,98,38,79,0.481,4,13,0.308,18,30,0.6,11,33,44,26,6,8,12,17,10.0
41998,1610612755,PHI,Philadelphia 76ers,0049800030,1999-05-15,PHI vs. ORL,W,237,101,34,74,0.459,6,12,0.5,27,31,0.871,20,28,48,22,8,7,13,22,10.0
41998,1610612758,SAC,Sacramento Kings,0049800028,1999-05-14,SAC vs. UTA,L,235,89,29,76,0.382,5,22,0.227,26,30,0.867,14,26,40,20,12,3,15,19,-1.0
41998,1610612748,MIA,Miami Heat,0049800025,1999-05-14,MIA @ NYK,W,235,87,30,70,0.429,9,18,0.5,18,26,0.692,6,31,37,20,9,3,6,23,15.0
41998,1610612765,DET,Detroit Pistons,0049800026,1999-05-14,DET vs. ATL,W,236,103,43,79,0.544,7,13,0.538,10,11,0.909,7,26,33,26,6,1,10,23,21.0
41998,1610612762,UTA,Utah Jazz,0049800028,1999-05-14,UTA @ SAC,W,234,90,39,82,0.476,3,11,0.273,9,10,0.9,15,27,42,22,8,2,17,26,1.0
41998,1610612737,ATL,Atlanta Hawks,0049800026,1999-05-14,ATL @ DET,L,236,82,28,66,0.424,9,19,0.474,17,23,0.739,11,22,33,15,4,2,20,20,-21.0
41998,1610612752,NYK,New York Knicks,0049800025,1999-05-14,NYK vs. MIA,L,234,72,24,66,0.364,7,19,0.368,17,24,0.708,12,32,44,9,4,1,15,24,-15.0
41998,1610612753,ORL,Orlando Magic,0049800021,1999-05-13,ORL @ PHI,L,234,85,27,71,0.38,9,25,0.36,22,28,0.786,13,30,43,22,8,5,26,20,-12.0
41998,1610612745,HOU,Houston Rockets,0049800024,1999-05-13,HOU vs. LAL,W,236,102,35,87,0.402,7,15,0.467,25,32,0.781,19,35,54,20,9,4,9,29,14.0
41998,1610612749,MIL,Milwaukee Bucks,0049800023,1999-05-13,MIL vs. IND,L,233,91,30,67,0.448,5,13,0.385,26,33,0.788,11,28,39,22,5,6,14,27,-8.0
41998,1610612750,MIN,Minnesota Timberwolves,0049800022,1999-05-13,MIN vs. SAS,L,234,71,28,80,0.35,2,6,0.333,13,18,0.722,13,24,37,13,9,4,11,14,-14.0
